;;Upgrade;;;Work;;Construction;;;
;Level;Workers;Time. Seconds;Cost;Money ;Time;Workers;Time. Seconds;Cost;
office;1;;;;100;30;1;10;5000;
;2;2;25;20000;350;120;;;;
;3;4;45;35000;700;500;;;;
;4;6;59;47000;950;750;;;;
;5;8;93;60000;1500;1500;;;;
;;;;;;;;;;
postproduction;1;;;;100;30;2;20;10000;
;2;2;25;20000;350;120;;;;
;3;4;45;35000;700;500;;;;
;;;;;;;;;;
scriptWrittersOffice;1;;;;100;30;2;20;10000;
;2;2;25;20000;350;120;;;;
;3;4;45;35000;700;500;;;;
;;;;;;;;;;
trailer;1;;;;100;30;2;20;10000;
;2;2;25;20000;350;120;;;;
;3;4;45;35000;700;500;;;;
;;;;;;;;;;
pavillion;1;;;;100;30;2;20;10000;
;2;2;25;20000;350;120;;;;
;3;4;45;35000;700;500;;;;
;;;;;;;;;;
buildersHut;1;;;;100;30;0;0;10000;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
